150.30	Mar 1	174170289240;174172547399;174181439459;174182733909;174192472085	Wedgwood Jasperware Cobalt Blue and White Marmalade Jar 4.75" x 3.5";One Wedgwood and One Tunstall Adams Cobalt Blue Jasperware Miniature Vase Rare;Wedgwood Doric Jug in Mottled Green/Brown Reduction Glazes ENGLAND ~6.5in;Antique Wedgwood dark blue 8.5" plate jasperware "Bellerophon Watering Pegasus" ;Wedgwood IMPERIAL Blue/White Jasperware PEPPER POT 'Muses Watering Pegasus'
15.95	Mar 1	174200285070	Lot of 2 Wedgwood Blue/White JUGS (Upright) 'Sacrifice Figures' ~4 inches Ribbed
24.62	Mar 1	174200253501	Lot of (2) Coalport MINIATURE SET Teacup Saucer Plate HONG KONG Green/White
41.40	Mar 1	174200222065	Lot of (2) Coalport MINIATURE SET Teacup Saucer Plate HONG KONG Fine Bone China 
13.00	Mar 1	174207268682	WEDGWOOD MAJOLICA CAULIFLOWER WARE milk PITCHER Etruria Barlaston
162.55	Mar 1	174200155101	Wedgwood Blue Jasperware Vase / Urn (Zodiac w/ Pedestal) Erato &amp; Calliope 9.75"
93.95	Mar 1	174199635857;174199649434	Wedgwood Jasperware Green (Etruscan Greek Key) Jug + Lid "Offering to Peace" 8" ;Wedgwood Cobalt Blue Jasperware Creamer (159 - Wide Mouth) "The Archers" Rare
129.00	Mar 1	174199638966;174199640843	Wedgwood Jasperware Biscuit Barrel Light Blue &amp; White "Fox Hunting" 6.5";Wedgwood Cobalt Blue Jasperware Jug + Lid / Portland Vase - Peleus and Thetis 5"
103.50	Mar 1	174199665144	Wedgwood Jasperware Cobalt Blue and White Coffee Pot "Sacrifice Figures" 7" 
35.00	Feb 29	174199632480	Wedgwood Cobalt Blue Jasperware Vase / Barber Bottle 7 inches. 
49.95	Feb 29	174199621309	Wedgwood Cobalt Blue Jasperware 8" Jug / Portland Vase "Peleus and Thetis" 
68.77	Feb 29	174199613442	Wedgwood Cobalt Blue Jasperware Large Jug (Etruscan) "Sacrifice Figures" 9" 
162.55	Feb 29	174199606842	Wedgwood Cobalt Blue Jasperware 7" Portland Vase "Peleus and Thetis" 
29.95	Feb 29	174199441228	Wedgwood Green/White BISCUIT BARREL w/ Metal Foot 'Offering to Peace' ENGLAND
88.69	Feb 29	174199416686	Wedgwood Gray TOBACCO JAR (Acorn) Jasperware 'Sacrifice Figures' ENGLAND
67.99	Feb 29	174199400853	Wedgwood Cobalt Blue Jasperware Jug (Dutch) "Sacrifice Figures" 4.5" Rare Style
19.95	Feb 29	174199281283	2 (1934) Wedgwood MIT Oval PLATTERS Massachusetts Institute of Technology 17.5in
26.00	Feb 29	174199275870	Vintage Wedgwood Chinoiserie Gilt Decorated Octagonal Cup and Saucer 8378 
9.95	Feb 29	174199273929	Wilhelm Schiller &amp; Sons (WS&amp;S) Majolica Demitasse Cup and Saucer Red/Orange 
17.02	Feb 29	174199272013	Wedgwood Jasperware Olive Green and White Bud Vase "Aurora"  6.0"x4.5"
29.95	Feb 28	174198773987	Wedgwood Jasperware Dark Blue Teapot and Sugar Bowl "Sacrifice Figures" 
78.99	Feb 28	174198644225	Wedgwood Blue Jasperware Jug (Dutch) "Sacrifice Figures" 5.25 in. Rare Design 
79.00	Feb 28	174198629665	Wedgwood Jasperware Blue Etruscan Greek Key Bullrushes Jug "Sacrifice Figures" 
19.95	Feb 28	174198599201	Wedgwood Jasperware Blue and White Tobacco Jar 4.75" x 4.5" "Cupids" 
83.99	Feb 27	174197452846	Wedgwood Jasperware Dark Blue/White (Etruscan) Large Jug "Sacrifice Figures" 8"
34.00	Feb 27	174197432636	WEDGWOOD Blue and White Jasperware FERN DISH with Under Plate (Brewster) England
21.50	Feb 24	174194472623	1976 Wedgwood Jasperware BOWL Yellow Primrose Flowers &amp; Prunus Blossoms England
12.05	Feb 24	174199282318	Schafer &amp; Vater Pink &amp; Green Jasperware Humidor
29.95	Feb 23	174193866628	Wedgwood DAISY MAKEIG JONES Fairyland GREEN LUSTRE Gold DRAGON Bowl Z4831
50.99	Feb 23	174193816098	Wedgwood Jasperware Light Blue Caterer Jug with lid "Offering to Peace" 8.5"
22.50	Feb 23	174193794187	Wedgwood Blue and White Jasperware Covered TRINKET DISH 'Sportive Love' ENGLAND
39.95	Feb 23	174193745884	Wedgwood Jasperware Light Blue and White Coffee Pot 'Diana and Stag' 5.5"
63.00	Feb 23	174193717210	Wedgwood Blue PITCHER/JUG Jasperware 'Ulysses Staying the Chariot of Victory'
41.00	Feb 23	174193684708	Wedgwood 2.5" Miniature Blue/White Jasperware TEAPOT England
21.00	Feb 23	174193627129	1989 WEDGWOOD Reading Candlestick Holders Blue and White Jasperware 5" England
29.95	Feb 23	174193506025	Wedgwood Blue/White LARGE Jasperware BOWL England ~3.75in(h), ~7.5in(d)
99.00	Feb 23	174193216566	Wedgwood MINIATURE Cream Caneware BOWL England (diameter 2.5 inches)
277.36	Feb 22	174192923617	WEDGWOOD Tricolor, BLUE, Green, White JASPERWARE Vase - "The Dancing Hours" 6.5"
23.50	Feb 22	174192917646	Wedgwood Dark Blue Jasperware Jug (Upright) With Lid "Offering to Peace" 5.5"
293.00	Feb 22	174192849943	WEDGWOOD PALE BLUE JASPERWARE PEDESTAL URN - RAMS HEADS "Nike and the Warrior" 
187.50	Feb 22	174192840749	Wedgwood Dark Blue Jasperware 7" Portland Vase "Peleus and Thetis" 
33.00	Feb 22	174192788966	Barbie Doll Wedgwood England 1759 Pink Dress Limited Edition 2000
137.50	Feb 21	174191518916	Wedgwood Jasperware Biscuit Barrel Tricolor Dark Blue, Light Blue and White 
19.95	Feb 20	174190407252	Wedgwood Blue and White X-Large Button JASPERWARE Set in Silver 'Aurora' England
39.00	Feb 20	174190392663	Wedgwood Blue and White Medium Button JASPERWARE Set in Silver FEEDING EAGLE 
19.95	Feb 20	174190384709	Vintage Wedgwood Blue/White Jasperware BUTTON Steel Back Large 'Archangel'
34.95	Feb 19	174189900136	Lot of 2 Wedgwood Dark Blue Jasperware Jug (Dutch) "Sacrifice Figures" 5 in.
36.00	Feb 19	174189880801	WEDGWOOD Lilac Jasperware Doric Jug with Lid "Sacrifice Figures" 7"
20.45	Feb 18	174188917964	(2) LOT Wedgwood Jasperware BONBON and Match Boxes Blue "Icarus and Daedalus" 
212.00	Feb 18	174188880628	Wedgwood Mortar and Pestle. Dean and Mary Rockwell Collection 4" x 6.5"
73.00	Feb 18	174188867892	Bates, Walker &amp; Co. Terra Cotta Vase / Urn Tricolor Light Blue, c.1875 
25.45	Feb 18	174188835768	Lot of 2 Wedgwood Jasperware Green Pitcher / Jug EUTERPE 5 1/4 in. &amp; 5 1/8 in. 
29.99	Feb 17	174187806446	Wedgwood Sage Green Jasperware Coffee Cup &amp; Saucer and 5"Jug "Sacrifice Figures"
29.95	Feb 17	174187796161	Wedgwood BISCUIT BARREL w/ Metal Foot "Offering to Peace" Blue and White
33.77	Feb 16	174186897993	Wedgwood PITCHER/JUG Sage Green and White Jasperware "Sacrifice Figures" 8"
242.50	Feb 16	174186891847	Wedgwood Jasperware Large Mug Tankard Dark Blue - Harry Barnard Design 
129.50	Feb 15	174185685137	Wedgwood MINIATURE Cream Caneware BOWL England (diameter 2.5 inches)
56.55	Feb 15	174185673285	1977 Wedgwood CANEWARE Jasperware Cream/Yellow/Red Egyptian Revival POT England
131.95	Feb 13	174182426195;174182763004	Wedgwood White Jasperware Pitcher with blue Fruited Vine relief. "Rabbit Hunt" ;WEDGWOOD Lilac Jasperware Doric Jug  "Sacrifice Figures" 7"
36.00	Feb 12	174182741358	Antique Wedgwood dark blue 8" plate jasperware "Aurora" 
131.38	Feb 12	174182653490	Wedgwood Black Basalt with gold trim Jug 6"
39.95	Feb 12	174182448355	Wedgwood Jasperware Biscuit Barrel Blue and White "Offering to Peace" 
70.95	Feb 11	174180416643;174180447295	Vintage Wedgwood Blue and White Biscuit Barrel SACRIFICE FIGURES Pewter HANDLE;Wedgwood Jasperware Biscuit Barrel Blue and White England
59.95	Feb 11	174181444977	Vintage Wedgwood Doric Jug in Mottled Green/Brown Reduction Glazes ~8.25in
41.00	Feb 11	174181428463	Wedgwood Doric Jug in Mottled Green and Brown Reduction Glazes ENGLAND ~6.5in
